Sample	UMI-tools_mqc-generalstats-umi_tools-extract_output_reads	BBDuk_mqc-generalstats-bbduk-Total_Removed_bases_percent	BBDuk_mqc-generalstats-bbduk-Total_Removed_bases	BBDuk_mqc-generalstats-bbduk-Total_Removed_reads_percent	BBDuk_mqc-generalstats-bbduk-Total_Removed_reads	BBDuk_mqc-generalstats-bbduk-Input_reads	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
31136-048_bbduk		63.92	627.883202	1.67	0.267993	16.059099	2.273265005297597						
31136-048_deduped								95.97888389288246	39.0	22.910273487791788	22	36.36363636363637	15.119577999999999
31136-049.R1	18.131355												
31136-049_bbduk		63.22	703.371394	1.87	0.339333	18.131355	2.379704086432369						
31136-049_deduped								93.82337069379179	40.0	23.530776561638906	22	36.36363636363637	16.978780999999998
31136-050.R1	18.167158												
31136-050_bbduk		64.43	715.373574	1.79	0.324832	18.167158	2.432190708124828						
31136-050_deduped								96.38143017201935	38.0	22.612737487889387	22	36.36363636363637	17.041869
31136-051.R1	19.788282												
31136-051_bbduk		63.98	774.567689	1.75	0.34662499999999996	19.788282	2.400155776722337						
31136-051_deduped								95.26432967340841	38.0	22.91414915864797	22	36.36363636363637	18.570348
31136-052.R1	12.389624												
31136-052_bbduk		59.78	458.79299799999995	1.71	0.21168299999999998	12.389624	1.8994033461995359						
31136-052_deduped								94.72526134281895	48.0	25.911512793137845	22	36.36363636363637	11.688571
31136-053.R1	16.226188												
31136-053_bbduk		61.91	619.723677	1.73	0.280058	16.226188	1.8805787961010612						
31136-053_deduped								96.54310689780479	45.0	24.37736674402058	22	36.36363636363637	15.346347
31136-054.R1	15.82795												
31136-054_bbduk		62.5	609.309534	1.68	0.26554099999999997	15.82795	2.1307102786109153						
31136-054_deduped								95.7753246608553	43.0	23.991535738236255	22	36.36363636363637	14.913172999999999
31136-055.R1	15.671299												
31136-055_bbduk		63.2	608.510051	1.88	0.294668	15.671299	2.2076782661138084						
31136-055_deduped								97.46574958512919	42.0	23.53904138806096	22	36.36363636363637	14.722119999999999
31136-056.R1	15.515257												
31136-056_bbduk		61.53	590.7817289999999	1.92	0.298444	15.515257	2.218764720409957						
31136-056_deduped								93.00256736030828	48.0	24.85304568561103	22	36.36363636363637	14.532081
31136-057.R1	16.666705999999998												
31136-057_bbduk		62.75	645.7839389999999	2.04	0.339921	16.666705999999998	2.4934051907523447						
31136-057_deduped								92.26761448420042	45.0	24.07914589119951	22	36.36363636363637	15.526124999999999
31136-058.R1	15.285984												
31136-058_bbduk		60.81	575.3121719999999	1.88	0.28674099999999997	15.285984	2.182881291606509						
31136-058_deduped								91.55375951086475	47.0	25.319511403805738	22	36.36363636363637	14.323157
31136-059.R1	18.535683												
31136-059_bbduk		59.69	684.404731	1.6	0.296778	18.535683	1.7425403499678003						
31136-059_deduped								95.58935504052769	45.0	25.855702489764074	22	36.36363636363637	17.567045999999998
31136-060.R1	13.277315999999999												
31136-060_bbduk		62.66	511.880187	1.83	0.24287299999999998	13.277315999999999	2.12524473241698						
31136-060_deduped								95.61050283001077	44.0	23.900564695782887	22	36.36363636363637	12.492213
31136-061.R1	14.551836												
31136-061_bbduk		60.43	543.074897	1.47	0.213897	14.551836	1.8376946962111684						
31136-061_deduped								95.3123791271658	46.0	25.304562441421837	22	36.36363636363637	13.793536
31136-062.R1	14.584261999999999												
31136-062_bbduk		59.46	537.698164	1.65	0.24065699999999998	14.584261999999999	1.915180283292894						
31136-062_deduped								94.81858039230869	49.0	26.138592258642888	23	36.36363636363637	13.758337
31136-063.R1	17.233396												
31136-063_bbduk		63.5	672.52066	1.87	0.322272	17.233396	2.290828791482801						
31136-063_deduped								94.66191846484509	42.0	23.355615424336214	22	36.36363636363637	16.17055
31136-064.R1	6.443404												
31136-064_bbduk		61.75	245.57525099999998	1.93	0.124078	6.443404	2.1600254526504563						
31136-064_deduped								94.64307506921992	46.0	24.6188454915798	22	36.36363636363637	6.044512
31136-065.R1	15.101816999999999												
31136-065_bbduk		62.65	584.1764	2.04	0.30821899999999997	15.101816999999999	2.5289983455445713						
